hao123.com,123.125.114.224
apple.com,17.178.96.59
amazon.com,54.239.25.208
wordpress.com,192.0.78.17
ebay.com,66.211.162.12
windows.com,104.43.195.251
imageshack.us,208.94.3.18
cnn.com,151.101.192.73
alipay.com,110.76.20.33
softonic.com,46.28.209.20
zynga.com,54.148.147.56
yahoo.co.jp,182.22.59.229
partypoker.com,88.81.155.145
mywebsearch.com,74.113.237.48
tudou.com,123.126.98.150
pps.tv,58.83.190.154
nifty.com,222.158.213.148
sohu.com,220.181.90.20
tianya.cn,124.225.65.154
paipai.com,163.177.83.173
facebook.com,157.240.3.35
live.com,65.55.206.154
baidu.com,220.181.57.217
qq.com,61.135.157.156
wikipedia.org,208.80.153.224
msn.com,23.101.196.141
yahoo.com,98.138.253.109
blogspot.com,216.58.217.41
youtube.com,216.58.217.14
microsoft.com,23.100.122.175
taobao.com,140.205.220.96
twitter.com,199.59.149.198
mozilla.com,63.245.213.24
adobe.com,192.150.16.117
163.com,123.58.180.7
soso.com,106.120.151.169
bing.com,204.79.197.200
ask.com,66.235.120.127
sina.com.cn,202.108.33.60
youku.com,123.126.99.31
tmall.com,140.205.130.99
about.com,207.241.148.80
paypal.com,64.4.250.23
fc2.com,54.187.26.65
bbc.co.uk,212.58.244.22
yandex.ru,77.88.55.70
sogou.com,118.191.216.42
rakuten.co.jp,133.237.48.124
goo.ne.jp,153.254.147.65
56.com,101.227.173.126
ku6.com,122.11.45.243
ifeng.com,210.51.19.63
weather.com,23.4.134.227
craigslist.org,208.82.237.129
hotmail.com,65.55.85.12
360.cn,125.88.190.56
alibaba.com,205.204.101.42
xunlei.com,182.118.18.100
renren.com,103.235.252.211
blogger.com,216.58.217.41
livedoor.jp,125.6.149.67
soku.com,43.250.12.57
orkut.com.br,
megaupload.com,
walmart.com,161.170.248.20
hotfile.com,199.184.144.150
kugou.com,14.18.236.182
odnoklassniki.ru,5.61.23.5
qiyi.com,101.227.22.158
jp.msn.com,23.101.196.141
ebay.de,66.135.201.153
pconline.com.cn,219.136.245.40
youdao.com,61.135.218.30
hp.com,15.216.241.18
vkontakte.ru,95.213.4.229
photobucket.com,209.17.68.100
answers.com,67.196.156.65
wmfo.org,23.92.21.128
sdjjdsaf.com,
mediafire.com,205.196.120.12
ehow.com,23.227.11.12
andysayler.com,162.243.49.20
seesaa.net,59.106.98.139
daum.net,61.111.62.173
7k7k.com,115.182.59.33
2345.com,42.62.30.180
rapidshare.com,10.11.12.13
myspace.com,63.135.90.70
flickr.com,69.147.76.173
ameblo.jp,27.133.208.13
naver.com,125.209.222.142
go.com,199.181.131.249
skype.com,104.40.50.126
orkut.com,104.197.122.40
cnet.com,64.30.228.118
4399.com,118.184.184.70
mail.ru,217.69.139.199
amazon.co.jp,54.240.250.0
linkedin.com,108.174.10.10
imdb.com,72.21.210.29
4shared.com,204.155.149.139
aol.com,207.200.74.38
dailymotion.com,195.8.215.136
